shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
TAE:AUTO_6042076,49.2912,1.01434,1,0
TAE:AUTO_6042076,49.289,1.00735,2,564
TAE:AUTO_6042076,49.288956,1.005984,3,663
TAE:AUTO_6042076,49.290046,1.003432,4,885
TAE:AUTO_6042076,49.29193,1.00354,5,1095
TAE:AUTO_6042076,49.297187,1.006674,6,1722
TAE:AUTO_6042076,49.2992,1.0081,7,1969
TAE:AUTO_6042076,49.302384,1.010043,8,2350
TAE:AUTO_6042076,49.30066,1.013839,9,2686
TAE:AUTO_6042076,49.299172,1.014319,10,2855
TAE:AUTO_6042076,49.296395,1.016321,11,3197
TAE:AUTO_6042076,49.297648,1.028987,12,4129
TAE:AUTO_6042076,49.298249,1.033701,13,4478
TAE:AUTO_6042076,49.299131,1.040043,14,4950
TAE:AUTO_6042076,49.300185,1.043507,15,5227
TAE:AUTO_6042076,49.302318,1.051035,16,5824
TAE:AUTO_6042076,49.305928,1.060785,17,6639
TAE:AUTO_6042076,49.307895,1.066005,18,7077
TAE:AUTO_6042076,49.309664,1.070801,19,7478
TAE:AUTO_6042076,49.312124,1.077449,20,8033
TAE:AUTO_6042076,49.312914,1.080198,21,8251
TAE:AUTO_6042076,49.315002,1.087066,22,8802
TAE:AUTO_6042076,49.317756,1.102646,23,9976
TAE:AUTO_6042076,49.318472,1.115596,24,10920
TAE:AUTO_6042076,49.317983,1.123949,25,11530
TAE:AUTO_6042076,49.32503,1.104696,26,13134
TAE:AUTO_6042076,49.3285,1.1038,27,13526
TAE:AUTO_6042076,49.32,1.0779,28,15633
TAE:AUTO_6042077,49.32,1.0779,1,0
TAE:AUTO_6042077,49.328401,1.10373,2,2097
TAE:AUTO_6042077,49.32505,1.104683,3,2476
TAE:AUTO_6042077,49.318483,1.115683,4,3559
TAE:AUTO_6042077,49.31795,1.123867,5,4157
TAE:AUTO_6042077,49.317717,1.103123,6,5665
TAE:AUTO_6042077,49.314994,1.087029,7,6874
TAE:AUTO_6042077,49.312927,1.079835,8,7445
TAE:AUTO_6042077,49.312058,1.076959,9,7676
TAE:AUTO_6042077,49.309724,1.070642,10,8203
TAE:AUTO_6042077,49.307873,1.06578,11,8612
TAE:AUTO_6042077,49.305951,1.060606,12,9045
TAE:AUTO_6042077,49.302407,1.050982,13,9848
TAE:AUTO_6042077,49.300277,1.043659,14,10431
TAE:AUTO_6042077,49.299194,1.040054,15,10720
TAE:AUTO_6042077,49.298296,1.033654,16,11196
TAE:AUTO_6042077,49.297709,1.028978,17,11542
TAE:AUTO_6042077,49.296445,1.016241,18,12479
TAE:AUTO_6042077,49.298966,1.014405,19,12790
TAE:AUTO_6042077,49.300742,1.013721,20,12994
TAE:AUTO_6042077,49.302482,1.010039,21,13324
TAE:AUTO_6042077,49.2996,1.0081,22,13674
TAE:AUTO_6042077,49.297047,1.006488,23,13981
TAE:AUTO_6042077,49.29182,1.00337,24,14605
TAE:AUTO_6042077,49.290022,1.003119,25,14806
TAE:AUTO_6042077,49.289313,1.005263,26,14981
TAE:AUTO_6042077,49.289494,1.007754,27,15163
TAE:AUTO_6042077,49.2912,1.01434,28,15679
TAE:AUTO_6042078,49.3426,1.1011,1,0
TAE:AUTO_6042078,49.3407,1.10146,2,212
TAE:AUTO_6042078,49.33155,1.09978,3,1237
TAE:AUTO_6042078,49.330878,1.098087,4,1381
TAE:AUTO_6042078,49.329309,1.093947,5,1729
TAE:AUTO_6042078,49.327778,1.095756,6,1944
TAE:AUTO_6042078,49.328163,1.099394,7,2212
TAE:AUTO_6042078,49.31,1.0441,8,6711
TAE:AUTO_6042078,49.308533,1.036593,9,7281
TAE:AUTO_6042078,49.305856,1.024519,10,8208
