stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone
TAE:ST:AUTO$1104292381,AUTO$1104292381,"CITE DES OISEAUX","",49.36312,1.10316,,,1,,0,
TAE:ST:AUTO$1104292382,AUTO$1104292382,"BRAZZA","",49.39844,1.04759,,,1,,0,
TAE:ST:AUTO$1104292385,AUTO$1104292385,"ECOLE CLAUDEL FERRY","",49.33971,1.09438,,,1,,0,
TAE:ST:AUTO$1104292386,AUTO$1104292386,"LANGUEDOC","",49.3776,1.10186,,,1,,0,
TAE:ST:AUTO$1104292387,AUTO$1104292387,"PLACE DE LA PAIX","",49.34177,1.09795,,,1,,0,
TAE:ST:AUTO$1104292388,AUTO$1104292388,"44 ROUTE DES ROCHES","",49.332956,1.066682,,,1,,0,
TAE:ST:AUTO$1104292389,AUTO$1104292389,"1180 ROUTE DES ROCHES","",49.326311,1.041936,,,1,,0,
TAE:ST:AUTO$1104292390,AUTO$1104292390,"PONT DE LA CHAPELLE","",49.36459,1.10507,,,1,,0,
TAE:ST:AUTO$1104292391,AUTO$1104292391,"CENTRE L HERMINIER","",49.333953,1.070684,,,1,,0,
TAE:ST:AUTO$1104292392,AUTO$1104292392,"VICTOR HUGO","",49.35773,1.00993,,,1,,0,
TAE:ST:AUTO$1124495332,AUTO$1124495332,"FOLLIETTES","",49.30683,1.05894,,,1,,0,
TAE:ST:AUTO$1245454464,AUTO$1245454464,"ESPACE CORTO MALTESE","",49.282838,1.033137,,,1,,0,
TAE:ST:AUTO$1245454466,AUTO$1245454466,"SAULNIERS","",49.2876,1.03704,,,1,,0,
TAE:ST:AUTO$1245454467,AUTO$1245454467,"LA VILLETTE","",49.283317,1.037467,,,1,,0,
TAE:ST:AUTO$1245454468,AUTO$1245454468,"GALBOIS","",49.273833,1.046616,,,1,,0,
TAE:ST:AUTO$1245454469,AUTO$1245454469,"J.E. BLANCHE","",49.279115,1.040061,,,1,,0,
TAE:ST:AUTO$1245454470,AUTO$1245454470,"RIVE DE L OISON","",49.28389,1.04122,,,1,,0,
TAE:ST:AUTO$1245454471,AUTO$1245454471,"JULES VERNE","",49.271226,1.047107,,,1,,0,
TAE:ST:AUTO$1245454494,AUTO$1245454494,"ESPACE DES FOUDRIOTS","",49.302505,1.013977,,,1,,0,
TAE:ST:AUTO$1245454499,AUTO$1245454499,"MAIRIE ST AUBIN","",49.299154,1.011685,,,1,,0,
TAE:ST:AUTO$1245454500,AUTO$1245454500,"GANTOIS","",49.299172,1.014319,,,1,,0,
TAE:ST:AUTO$1245454526,AUTO$1245454526,"GRIFEUIL","",49.29335,0.97175,,,1,,0,
TAE:ST:AUTO$1245454561,AUTO$1245454561,"PERIGA","",49.32371,1.020507,,,1,,0,
TAE:ST:AUTO$1245454622,AUTO$1245454622,"POINTE A JOJO","",49.2992,1.0081,,,1,,0,
TAE:ST:AUTO$1245454623,AUTO$1245454623,"DOC. PAIN","",49.297187,1.006674,,,1,,0,
TAE:ST:AUTO$1245454624,AUTO$1245454624,"EGLISE ST JEAN","",49.29193,1.00354,,,1,,0,
TAE:ST:AUTO$1245454625,AUTO$1245454625,"LA POSTE","",49.290046,1.003432,,,1,,0,
TAE:ST:AUTO$1245454626,AUTO$1245454626,"PONT PASTEUR","",49.301202,1.02265,,,1,,0,
TAE:ST:AUTO$1245454627,AUTO$1245454627,"CITE BLIN","",49.300417,1.019577,,,1,,0,
TAE:ST:AUTO$1245454628,AUTO$1245454628,"D. ROCHEREAU","",49.30066,1.013839,,,1,,0,
TAE:ST:AUTO$1245454629,AUTO$1245454629,"GARE DE ST AUBIN","",49.302384,1.010043,,,1,,0,
TAE:ST:AUTO$1245454634,AUTO$1245454634,"CHARLES MOUCHEL","",49.288956,1.005984,,,1,,0,
TAE:ST:AUTO$1245454635,AUTO$1245454635,"MITTERRAND","",49.287643,1.008033,,,1,,0,
TAE:ST:AUTO$1245454654,AUTO$1245454654,"BOUT DU GARD","",49.2789,1.008283,,,1,,0,
TAE:ST:AUTO$1245454658,AUTO$1245454658,"LIBERTE","",49.284578,1.00852,,,1,,0,
TAE:ST:AUTO$1245454660,AUTO$1245454660,"LYCEE MAUROIS","",49.289534,1.018994,,,1,,0,
TAE:ST:AUTO$1245454661,AUTO$1245454661,"CHAMP DE FOIRE","",49.290194,1.013536,,,1,,0,
TAE:ST:AUTO$1245454668,AUTO$1245454668,"PARC ST CYR","",49.276,1.005,,,1,,0,
TAE:ST:AUTO$1245454669,AUTO$1245454669,"ST CYR","",49.277352,1.005475,,,1,,0,
TAE:ST:AUTO$1245454690,AUTO$1245454690,"Z.I. L OISON","",49.2899,1.0391,,,1,,0,
TAE:ST:AUTO$1245454692,AUTO$1245454692,"LAMARTINE","",49.287633,1.026192,,,1,,0,
TAE:ST:AUTO$1245454693,AUTO$1245454693,"FELIX FAURE","",49.288531,1.031548,,,1,,0,
TAE:ST:AUTO$1245454700,AUTO$1245454700,"MARIE SAMSON","",49.275586,1.045423,,,1,,0,
